Bandwidth,MOS,Percentile,Hosts,Delay,Algorithms,Competition,Resolutions
10,1.88,10,1,100,arbiter,5,1
10,1.88,20,1,100,arbiter,5,1
10,1.88,30,1,100,arbiter,5,1
10,1.88,40,1,100,arbiter,5,1
10,1.88,50,1,100,arbiter,5,1
10,1.88,60,1,100,arbiter,5,1
10,1.89,70,1,100,arbiter,5,1
10,1.89,80,1,100,arbiter,5,1
10,1.89,90,1,100,arbiter,5,1
10,1.62,10,1,50,arbiter,5,2
10,1.65,20,1,50,arbiter,5,3
10,1.74,30,1,50,arbiter,5,3
10,1.8,40,1,50,arbiter,5,3
10,1.9,50,1,50,arbiter,5,3
10,1.95,60,1,50,arbiter,5,4
10,1.99,70,1,50,arbiter,5,4
10,2.06,80,1,50,arbiter,5,4
10,2.09,90,1,50,arbiter,5,4
10,2.1,10,1,50,conv,5,3
10,2.23,20,1,50,conv,5,4
10,2.33,30,1,50,conv,5,4
10,2.43,40,1,50,conv,5,4
10,2.58,50,1,50,conv,5,5
10,2.74,60,1,50,conv,5,5
10,2.83,70,1,50,conv,5,5
10,2.94,80,1,50,conv,5,5
10,3.05,90,1,50,conv,5,5
10,1.53,10,1,10,conv,10,3
10,1.56,20,1,10,conv,10,3
10,1.62,30,1,10,conv,10,3
10,1.66,40,1,10,conv,10,3
10,1.78,50,1,10,conv,10,3
10,1.9,60,1,10,conv,10,4
10,1.99,70,1,10,conv,10,4
10,2.14,80,1,10,conv,10,4
10,2.48,90,1,10,conv,10,4
10,1.29,10,1,100,conv,10,1
10,1.32,20,1,100,conv,10,2
10,1.36,30,1,100,conv,10,2
10,1.44,40,1,100,conv,10,2
10,1.48,50,1,100,conv,10,2
10,1.58,60,1,100,conv,10,2
10,1.65,70,1,100,conv,10,2
10,1.78,80,1,100,conv,10,2
10,1.88,90,1,100,conv,10,2
10,1.62,10,1,50,conv,10,3
10,1.75,20,1,50,conv,10,4
10,1.88,30,1,50,conv,10,4
